departement_code,zone_cc
01,CC46
02,CC49
03,CC46
04,CC44
05,CC45
06,CC44
07,CC45
08,CC50
09,CC43
10,CC48
11,CC43
12,CC44
13,CC44
14,CC49
15,CC45
16,CC46
17,CC46
18,CC47
19,CC45
2A,CC42
2B,CC42
21,CC47
22,CC48
23,CC46
24,CC45
25,CC47
26,CC45
27,CC49
28,CC48
29,CC48
30,CC44
31,CC43
32,CC44
33,CC45
34,CC43
35,CC48
36,CC47
37,CC47
38,CC45
39,CC47
40,CC44
41,CC48
42,CC46
43,CC45
44,CC47
45,CC48
46,CC45
47,CC44
48,CC44
49,CC47
50,CC49
51,CC49
52,CC48
53,CC48
54,CC49
55,CC49
56,CC48
57,CC49
58,CC47
59,CC50
60,CC49
61,CC49
62,CC50
63,CC46
64,CC43
65,CC43
66,CC43
67,CC49
68,CC48
69,CC46
70,CC48
71,CC47
72,CC48
73,CC45
74,CC46
75,CC49
76,CC50
77,CC49
78,CC49
79,CC47
80,CC50
81,CC44
82,CC44
83,CC43
84,CC44
85,CC47
86,CC47
87,CC46
88,CC48
89,CC48
90,CC48
91,CC49
92,CC49
93,CC49
94,CC49
95,CC49
